member_casual,start_station_name,month,no_of_trips
member,Clark St & Lincoln Ave,May,1576
member,Broadway & Barry Ave,October,1574
member,Desplaines St & Kinzie St,August,1574
member,Ellis Ave & 55th St,November,1574
casual,Clark St & Elm St,September,1572
member,Clark St & Schiller St,June,1564
member,Dearborn Pkwy & Delaware Pl,September,1564
casual,Clark St & Armitage Ave,September,1561
casual,Clark St & Drummond Pl,July,1558
casual,Wabash Ave & Grand Ave,August,1557
member,Halsted St & Wrightwood Ave,July,1556
member,Lincoln Ave & Fullerton Ave,July,1553
casual,LaSalle St & Illinois St,August,1551
member,DuSable Lake Shore Dr & Wellington Ave,August,1551
member,Pine Grove Ave & Waveland Ave,June,1549
member,Clinton St & Washington Blvd,November,1548
member,Green St & Madison St,September,1548
member,Broadway & Waveland Ave,June,1546
casual,Dearborn St & Erie St,July,1544
casual,New St & Illinois St,August,1542
member,Wabash Ave & Roosevelt Rd,June,1542
member,Sangamon St & Lake St,August,1540
casual,DuSable Lake Shore Dr & Wellington Ave,June,1539
casual,Montrose Harbor,May,1538
casual,Wells St & Evergreen Ave,July,1538
member,Clark St & Armitage Ave,September,1538
casual,Clark St & Lincoln Ave,September,1537
member,Ellis Ave & 60th St,September,1537
member,Wabash Ave & Roosevelt Rd,July,1536
member,Dearborn St & Erie St,October,1534
member,Canal St & Adams St,October,1533
member,Dearborn Pkwy & Delaware Pl,June,1532
member,Clinton St & Jackson Blvd,September,1531
member,Clark St & Elm St,April,1530
member,DuSable Lake Shore Dr & Monroe St,June,1529
casual,Wells St & Huron St,July,1528
member,Indiana Ave & Roosevelt Rd,August,1528
member,St. Clair St & Erie St,October,1527
member,Halsted St & Wrightwood Ave,June,1526
member,Clark St & Lincoln Ave,September,1523
casual,Michigan Ave & Washington St,August,1521
member,Sheridan Rd & Irving Park Rd,August,1520
casual,Wells St & Evergreen Ave,June,1519
casual,LaSalle St & Illinois St,June,1517
member,DuSable Lake Shore Dr & Wellington Ave,June,1516
member,Halsted St & Roscoe St,June,1515
member,Lakeview Ave & Fullerton Pkwy,July,1514
casual,Montrose Harbor,September,1513
member,Racine Ave & Fullerton Ave,June,1513
member,Clark St & Newport St,June,1511
member,Damen Ave & Pierce Ave,August,1510
casual,McClurg Ct & Ohio St,August,1509
member,Larrabee St & Kingsbury St,September,1506
casual,Clark St & Wrightwood Ave,August,1505
casual,Sheffield Ave & Waveland Ave,July,1504
member,Clinton St & Jackson Blvd,August,1504
member,Sheffield Ave & Fullerton Ave,August,1502
member,Halsted St & Roscoe St,July,1501
member,Clinton St & Madison St,April,1500
casual,Damen Ave & Pierce Ave,July,1498
casual,Halsted St & Roscoe St,July,1497
member,Sheffield Ave & Fullerton Ave,July,1493
member,Canal St & Adams St,July,1492
member,Sheridan Rd & Irving Park Rd,September,1492
casual,Ashland Ave & Division St,July,1488
member,Southport Ave & Roscoe St,July,1488
member,Broadway & Cornelia Ave,September,1487
member,Larrabee St & Kingsbury St,August,1486
member,Indiana Ave & Roosevelt Rd,September,1485
member,Wabash Ave & Roosevelt Rd,September,1483
member,State St & Chicago Ave,October,1480
member,Wilton Ave & Diversey Pkwy,July,1480
casual,Lakeview Ave & Fullerton Pkwy,August,1476
member,LaSalle St & Illinois St,August,1476
casual,Adler Planetarium,May,1475
member,Clark St & Schiller St,July,1474
member,Franklin St & Monroe St,August,1474
member,Peoria St & Jackson Blvd,September,1474
member,Montrose Harbor,July,1473
member,University Ave & 57th St,September,1473
member,Lincoln Ave & Fullerton Ave,September,1472
member,Clark St & Newport St,July,1471
member,DuSable Lake Shore Dr & Diversey Pkwy,September,1468
casual,Larrabee St & Webster Ave,August,1467
casual,Lincoln Ave & Fullerton Ave,July,1467
member,LaSalle St & Illinois St,July,1465
member,LaSalle St & Illinois St,June,1464
member,Wabash Ave & Roosevelt Rd,August,1461
casual,Halsted St & Roscoe St,June,1457
member,Southport Ave & Roscoe St,June,1457
member,McClurg Ct & Ohio St,July,1454
member,State St & 33rd St,August,1454
casual,Wells St & Hubbard St,June,1453
casual,Wells St & Huron St,August,1453
member,Peoria St & Jackson Blvd,July,1453
member,Racine Ave & Fullerton Ave,May,1452
member,Michigan Ave & Washington St,June,1451
member,Indiana Ave & Roosevelt Rd,July,1449
member,Sheffield Ave & Waveland Ave,July,1449
member,Larrabee St & Kingsbury St,June,1447
member,McClurg Ct & Ohio St,June,1445
member,Clinton St & Lake St,August,1443
member,Morgan St & Polk St,November,1443
